epoch,time,train/box_loss,train/cls_loss,train/dfl_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),val/box_loss,val/cls_loss,val/dfl_loss,lr/pg0,lr/pg1,lr/pg2
27,203.416,1.88538,1.54545,1.30162,0.58012,0.54847,0.5768,0.25512,1.84614,1.58521,1.32417,0.004852,0.004852,0.004852
28,210.429,1.91046,1.48876,1.2934,0.55332,0.51266,0.52049,0.21847,1.89374,1.55399,1.33185,0.004654,0.004654,0.004654
29,217.327,1.89983,1.50394,1.28945,0.58169,0.56419,0.5713,0.24571,1.82413,1.50552,1.28435,0.004456,0.004456,0.004456
30,224.315,1.90567,1.53166,1.30754,0.57089,0.57631,0.56874,0.23337,1.91954,1.52522,1.37991,0.004258,0.004258,0.004258
31,231.274,1.89415,1.48104,1.29271,0.56162,0.59476,0.56059,0.23993,1.90144,1.49707,1.39248,0.00406,0.00406,0.00406
32,238.253,1.92254,1.48494,1.2954,0.51122,0.51441,0.52178,0.20873,1.94883,1.54621,1.35031,0.003862,0.003862,0.003862
33,245.165,1.91359,1.50526,1.268,0.56585,0.59214,0.59663,0.25673,1.80347,1.586,1.30223,0.003664,0.003664,0.003664
34,252.146,1.91963,1.50238,1.29713,0.54814,0.60087,0.5875,0.25986,1.85671,1.47606,1.32604,0.003466,0.003466,0.003466
35,259.108,1.90705,1.48359,1.29596,0.56887,0.53585,0.55781,0.25051,1.85195,1.52599,1.33437,0.003268,0.003268,0.003268
36,266.02,1.93535,1.50328,1.29494,0.5859,0.55109,0.55473,0.22557,1.8538,1.53629,1.31775,0.00307,0.00307,0.00307
37,273.075,1.89689,1.50355,1.27977,0.54847,0.53998,0.54678,0.24015,1.91956,1.52656,1.3714,0.002872,0.002872,0.002872
38,280.302,1.86473,1.44222,1.26911,0.57334,0.57205,0.57941,0.26203,1.79988,1.43917,1.29283,0.002674,0.002674,0.002674
39,287.248,1.83861,1.43958,1.26539,0.52814,0.5347,0.51272,0.21447,1.96207,1.54085,1.39775,0.002476,0.002476,0.002476
40,294.17,1.84323,1.45067,1.27605,0.59336,0.60262,0.59457,0.26379,1.79867,1.42973,1.2915,0.002278,0.002278,0.002278
41,300.758,1.81269,1.47515,1.30719,0.54222,0.51266,0.54089,0.24438,1.8289,1.59203,1.31426,0.00208,0.00208,0.00208
42,307.346,1.82685,1.47823,1.30819,0.54619,0.54029,0.56217,0.25977,1.8022,1.50583,1.30273,0.001882,0.001882,0.001882
43,313.933,1.80139,1.4596,1.27159,0.60753,0.57293,0.59952,0.26538,1.78928,1.44556,1.28629,0.001684,0.001684,0.001684
44,320.391,1.80361,1.4543,1.31101,0.61265,0.58293,0.59877,0.2615,1.78524,1.45155,1.29189,0.001486,0.001486,0.001486
45,326.757,1.78746,1.43189,1.29133,0.6039,0.56419,0.59383,0.26033,1.79918,1.44157,1.28585,0.001288,0.001288,0.001288
46,333.203,1.75912,1.41394,1.27604,0.58488,0.58941,0.59831,0.27241,1.79911,1.43397,1.28871,0.00109,0.00109,0.00109
47,339.736,1.78967,1.42221,1.29272,0.62746,0.59723,0.61278,0.27767,1.8104,1.40796,1.30012,0.000892,0.000892,0.000892
48,346.106,1.78546,1.39164,1.27938,0.61456,0.62096,0.6283,0.28275,1.77334,1.38125,1.27715,0.000694,0.000694,0.000694
49,353.013,1.77708,1.40128,1.28214,0.62507,0.62174,0.63406,0.28908,1.77112,1.37756,1.27886,0.000496,0.000496,0.000496
50,360.231,1.76453,1.38652,1.28549,0.6388,0.62247,0.63537,0.28806,1.79697,1.38345,1.29758,0.000298,0.000298,0.000298
